player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
39606001,Danish Ahmed,9726435,Mahmoodkot Mavericks,9,9,708,125,177.00,5,327.78,216,RHB,26,87,5,3
39559822,Irttaza Hussain,9726448,Macchike Mustangs,10,10,606,174,86.57,3,310.77,195,RHB,19,76,4,1
39404848,Umar Nisar,9726471,Keamari Kings,9,9,402,84,57.43,2,237.87,169,LHB,28,35,5,0
16435832,Mazhar Iqbal,9726471,Keamari Kings,9,9,286,65,47.67,3,250.88,114,RHB,13,32,3,0
39606520,Syed Abeer Kazmi,9726462,Bubak Blasters,7,7,260,73,52.00,2,260.00,100,RHB,17,25,1,0
39406037,Waseem Ullah Khan,9726488,Kot Bahadur Shah Bulls,7,7,258,106,36.86,0,224.35,115,RHB,14,28,1,1
39559871,Junaid Iqbal,9726458,Fazilpur Falcons,8,8,230,88,32.86,1,198.28,116,RHB,9,24,2,0
39606210,Asad Mughal,9726479,Port Qasim Panthers,7,7,172,53,28.67,1,223.38,77,RHB,5,21,2,0
39559847,M Aamir Khan,9726448,Macchike Mustangs,9,7,159,41,22.71,0,157.43,101,RHB,6,13,0,0
39606524,Kamran Abdali,9726462,Bubak Blasters,7,7,148,39,37.00,3,172.09,86,RHB,12,9,0,0
39405901,Haseeb Usman,9726488,Kot Bahadur Shah Bulls,7,6,138,47,23.00,0,174.68,79,RHB,8,12,0,0
39606206,M Idrees,9726479,Port Qasim Panthers,6,6,137,54,22.83,0,173.42,79,RHB,5,12,1,0
39606002,M Kaleemullah,9726435,Mahmoodkot Mavericks,9,8,137,50,17.13,0,195.71,70,RHB,5,14,1,0
10643363,Arman Bari,9726452,Shikarpur Stallions,7,7,126,53,18.00,0,159.49,79,LHB,9,6,1,0
39559876,Zeeshan Tahir,9726458,Fazilpur Falcons,8,8,119,41,17.00,1,177.61,67,RHB,3,11,0,0
39446449,Asad,9726452,Shikarpur Stallions,5,4,118,56,39.33,1,187.30,63,RHB,9,7,1,0
39606215,Waqas Hassan,9726479,Port Qasim Panthers,5,5,114,73,28.50,1,203.57,56,RHB,7,9,1,0
32487566,Mehmood Shah,9726435,Mahmoodkot Mavericks,9,9,112,39,28.00,5,124.44,90,RHB,8,4,0,0
36849912,Munawar Ali,9726452,Shikarpur Stallions,6,6,105,33,21.00,1,156.72,67,RHB,4,8,0,0
39559825,M Areeb.,9726448,Macchike Mustangs,8,8,104,32,26.00,4,138.67,75,RHB,4,9,0,0
16094345,Kumail,9726452,Shikarpur Stallions,7,7,100,30,25.00,3,178.57,56,RHB,3,9,0,0
39446447,Umer,9726452,Shikarpur Stallions,6,6,99,35,16.50,0,157.14,63,RHB,9,3,0,0
39606004,Hafiz Umer Bin Mohsin,9726435,Mahmoodkot Mavericks,9,7,99,32,16.50,1,141.43,70,RHB,3,5,0,0
39559872,M Zubair,9726458,Fazilpur Falcons,8,6,97,31,48.50,4,144.78,67,RHB,4,6,0,0
36506476,Shabbir Iqbal,9726471,Keamari Kings,9,8,96,26,19.20,3,145.45,66,RHB,4,7,0,0
21802280,Asif Hamid,9726488,Kot Bahadur Shah Bulls,6,6,94,28,18.80,1,140.30,67,RHB,5,5,0,0
39606526,Muneeb Ul Hassan,9726462,Bubak Blasters,7,5,93,39,23.25,1,206.67,45,RHB,3,10,0,0
39559877,M Hammad Khalil,9726458,Fazilpur Falcons,7,6,93,32,23.25,2,157.63,59,RHB,6,5,0,0
39606522,Sheikh Khalid Zahid,9726462,Bubak Blasters,7,6,90,34,22.50,2,173.08,52,RHB,8,5,0,0
39606213,Khalil Bugti,9726479,Port Qasim Panthers,6,6,87,33,14.50,0,147.46,59,RHB,11,2,0,0
39559829,M Fakhir Sohail,9726448,Macchike Mustangs,10,9,80,23,16.00,4,170.21,47,RHB,3,8,0,0
39559849,Aurangzaib Muzammil Khan,9726448,Macchike Mustangs,10,6,77,18,15.40,1,142.59,54,RHB,1,8,0,0
39559875,Syed Junaid Ali,9726458,Fazilpur Falcons,8,5,73,30,18.25,1,146.00,50,RHB,6,2,0,0
39405902,Shabbir Sultan,9726488,Kot Bahadur Shah Bulls,7,7,70,29,10.00,0,142.86,49,RHB,5,5,0,0
39606217,M Huzaif,9726479,Port Qasim Panthers,7,7,67,35,9.57,0,167.50,40,RHB,4,6,0,0
33997964,Salman Saeed,9726488,Kot Bahadur Shah Bulls,6,6,57,19,9.50,0,190.00,30,RHB,1,7,0,0
39575879,Humays Khan,9726471,Keamari Kings,8,6,57,20,14.25,2,154.05,37,RHB,0,5,0,0
39559830,Irteza Ali Qureshi,9726448,Macchike Mustangs,6,5,55,16,11.00,0,122.22,45,RHB,6,1,0,0
39406198,Waqas Ahmed,9726488,Kot Bahadur Shah Bulls,4,4,48,22,16.00,1,126.32,38,RHB,3,2,0,0
39446547,Jawwad,9726452,Shikarpur Stallions,7,5,44,16,14.67,2,157.14,28,RHB,2,1,0,0
39559879,Shayan Baig,9726458,Fazilpur Falcons,7,6,44,16,11.00,2,122.22,36,RHB,3,2,0,0
39446452,Usman,9726452,Shikarpur Stallions,5,5,39,20,13.00,2,134.48,29,RHB,0,4,0,0
39559846,Hameed Alam Khan,9726448,Macchike Mustangs,8,6,37,14,6.17,0,112.12,33,RHB,1,2,0,0
39606527,M Masood Tahir,9726462,Bubak Blasters,7,4,35,21,17.50,2,109.38,32,RHB,1,1,0,0
18494553,Muhammad Hammad,9726471,Keamari Kings,8,4,34,21,34.00,3,154.55,22,RHB,3,2,0,0
39406041,Fazil Hussain,9726488,Kot Bahadur Shah Bulls,7,5,33,15,11.00,2,143.48,23,RHB,2,3,0,0
24488628,Mehab,9726471,Keamari Kings,8,4,31,16,10.33,1,100.00,31,RHB,1,3,0,0
39559874,M Anwar,9726458,Fazilpur Falcons,8,3,30,19,15.00,1,100.00,30,RHB,2,1,0,0
39606220,M Ahsan Marfani,9726479,Port Qasim Panthers,5,4,30,20,15.00,2,157.89,19,RHB,1,2,0,0
39405097,Syed Musa Raza Zaidi,9726471,Keamari Kings,7,5,28,13,14.00,3,116.67,24,RHB,1,1,0,0
39405098,Irfan Shaikh,9726471,Keamari Kings,6,6,28,9,5.60,1,75.68,37,RHB,2,0,0,0
39606010,M Sajid,9726435,Mahmoodkot Mavericks,8,3,27,14,13.50,1,122.73,22,RHB,1,2,0,0
39559873,Ghavir Imran,9726458,Fazilpur Falcons,5,2,26,15,26.00,1,136.84,19,RHB,1,1,0,0
39606352,Sabir Hussain,9726479,Port Qasim Panthers,5,3,22,20,11.00,1,122.22,18,LHB,0,2,0,0
39606006,Syed Naseem Hussain,9726435,Mahmoodkot Mavericks,9,5,22,21,11.00,3,137.50,16,RHB,1,2,0,0
