player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
39405270,Syed Ather Waqar,9726471,Keamari Kings,9,8,12,78,3,13.77,6.50,0,14.92,179,Right-arm Off Break,13.0,27
39559872,M Zubair,9726458,Fazilpur Falcons,8,8,10,96,3,11.69,9.60,0,18.7,187,Right-arm fast,16.0,39
39559875,Syed Junaid Ali,9726458,Fazilpur Falcons,8,8,9,75,2,11.20,8.33,0,15.56,140,Right-arm fast,12.3,26
39559845,M Imran Khan,9726448,Macchike Mustangs,10,9,9,102,3,12.18,11.33,0,23,207,Right-arm fast,17.0,28
39606012,Haroon Qazi,9726435,Mahmoodkot Mavericks,9,9,9,90,3,13.53,10.00,0,22.56,203,Right-arm fast,15.0,33
39404848,Umar Nisar,9726471,Keamari Kings,9,9,8,96,2,9.44,12.00,1,18.88,151,Right-arm fast,16.0,41
39406037,Waseem Ullah Khan,9726488,Kot Bahadur Shah Bulls,7,7,8,78,3,12.31,9.75,1,20,160,Right-arm fast,13.0,28
39446451,Ahsan,9726452,Shikarpur Stallions,7,7,8,72,3,12.58,9.00,0,18.88,151,Right-arm fast,12.0,26
39559825,M Areeb.,9726448,Macchike Mustangs,8,7,8,84,2,13.71,10.50,0,24,192,Right-arm medium,14.0,29
39559874,M Anwar,9726458,Fazilpur Falcons,8,8,7,96,2,8.38,13.71,0,19.14,134,Right-arm fast,16.0,39
39606524,Kamran Abdali,9726462,Bubak Blasters,7,7,7,84,2,9.07,12.00,0,18.14,127,Right-arm fast,14.0,35
16435832,Mazhar Iqbal,9726471,Keamari Kings,9,9,7,96,2,9.75,13.71,0,22.29,156,Right-arm fast,16.0,30
39559831,M Asghar,9726448,Macchike Mustangs,10,10,7,84,3,12.36,12.00,0,24.71,173,Right-arm fast,14.0,21
39406041,Fazil Hussain,9726488,Kot Bahadur Shah Bulls,7,7,7,78,2,12.54,11.14,0,23.29,163,Right-arm fast,13.0,25
39406039,Muzammil Kholia,9726488,Kot Bahadur Shah Bulls,5,5,6,54,2,10.22,9.00,0,15.33,92,Right-arm fast,9.0,24
39579387,M Haseeb,9726471,Keamari Kings,9,7,6,67,2,13.07,11.17,0,24.33,146,Right-arm fast,11.1,22
39559851,Hassan Ahmed,9726448,Macchike Mustangs,10,9,6,90,1,14.73,15.00,0,36.83,221,Right-arm fast,15.0,33
