Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Abeer Kazmi,Port Qasim Panthers,,Right-arm medium,RHB,3,15.658,0.000,1.400,17.058
Danish Ahmed,Mahmoodkot Mavericks,,Right-arm fast,RHB,3,13.606,2.840,0.224,16.670
M. Kaleem Ullah,Port Qasim Panthers,,Right-arm fast,RHB,3,10.588,4.532,0.000,15.120
Junaid Iqbal,Keamari Kings,,Right-arm medium,RHB,3,12.373,-0.119,0.280,12.534
Mazhar Iqbal,Keamari Kings,,Right-arm fast,RHB,3,12.197,0.159,0.000,12.356
Fakhir Sohail,Mahmoodkot Mavericks,,,RHB,3,10.202,0.000,1.344,11.546
Muneeb Ul Hassan,Port Qasim Panthers,,,RHB,2,10.900,0.000,0.000,10.900
Syed Musa Raza Zaidi,Kot Bahadur Shah Bulls,,,RHB,1,10.400,0.000,0.000,10.400
Irttaza Hussain.,Macchike Mustangs,,Right-arm fast,RHB,1,8.449,1.568,0.000,10.017
Muhammad Areeb,Fazilpur Falcons,,Right-arm fast,RHB,2,5.462,1.922,2.128,9.512
Umer Farooq.,Macchike Mustangs,,Right-arm fast,RHB,1,7.000,0.106,0.000,7.106
Kamran Abdali,Bubak Blasters,,Right-arm fast,RHB,1,6.700,0.094,0.000,6.794
Mehmood Shah,Mahmoodkot Mavericks,Top-order batter,Right-arm medium,RHB,2,6.600,0.000,0.000,6.600
Zohaib Yaqoob,Mahmoodkot Mavericks,,Right-arm medium,,3,0.000,6.320,0.000,6.320
Arman Bari,Mahmoodkot Mavericks,,Right-arm medium,LHB,3,6.136,-0.054,0.224,6.306
Mehab,Keamari Kings,,Right-arm fast,RHB,3,4.579,1.406,0.280,6.265
Akram Alizai,Fazilpur Falcons,,Right-arm medium,RHB,2,1.300,4.449,0.280,6.029
Syed Ather Waqar,Mahmoodkot Mavericks,,Right-arm Off Break,RHB,3,0.100,5.821,0.000,5.921
Tabish,Fazilpur Falcons,,Right-arm fast,RHB,2,5.925,-0.039,0.000,5.886
M Anwar.,Fazilpur Falcons,,Right-arm fast,RHB,2,0.000,5.583,0.000,5.583
Asad Ahmed,Shikarpur Stallions,,Right-arm medium,RHB,2,4.000,0.067,1.400,5.467
Umar Nisar,Shikarpur Stallions,All-Rounder,Right-arm fast,LHB,1,5.236,0.130,0.000,5.366
Umer,Shikarpur Stallions,,Right-arm medium,RHB,1,4.670,0.096,0.560,5.326
Munawar Ali,Fazilpur Falcons,,Right-arm fast,RHB,2,5.000,0.039,0.000,5.039
Zubair Zab,Shikarpur Stallions,,Right-arm medium,RHB,2,5.131,-0.115,0.000,5.016
